Timestamp,DeviceID,Protocol,Length
1,1,1,1
2,3,3,1
3,4,4,1
4,5,5,1
5,1,1,1
6,2,2,1
7,3,3,1
8,4,4,1
9,5,5,1
10,1,1,1
11,2,2,1
12,3,3,1
13,4,4,1
14,5,5,1
15,1,1,1
16,2,2,1
17,3,3,1
18,5,5,1
19,1,1,1
20,2,2,1
21,3,3,1
22,4,4,1
23,5,5,1
24,1,1,1
25,2,2,1
26,4,4,1
27,5,5,1
28,1,1,1
29,2,2,1
30,3,3,1
31,4,4,1
32,5,5,1
33,1,1,1
34,2,2,1
35,3,3,1
36,4,4,1
37,5,5,1
38,3,3,1
39,4,4,1
40,5,5,1
41,1,1,1
42,3,3,1
43,4,4,1
